Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"EQFE",,"Equisetum ×ferrissii Clute (pro sp.) [hyemale × laevigatum]",
"ELPS",,"Elymus ×pseudorepens (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey [lanceolatus × trachycaulus]",
"ELSA4",,"Elymus ×saundersii Vasey (pro sp.) [elymoides × trachycaulus]",
"VUMY",,"Vulpia myuros (L.) C.C. Gmel.",
"GAPUP2",,"Gaillardia pulchella Foug. var. pulchella ",
"APFL",,"Apocynum ×floribundum Greene (pro sp.) [androsaemifolium × cannabinum]",
"MERO2",,"Mentha ×rotundifolia (L.) Huds. (pro sp.) [longifolia × suaveolens]",
"QUPA4",,"Quercus ×pauciloba Rydb. (pro sp.) [gambelii × turbinella]",
"DECO3",,"Delphinium ×confertiflorum Wooton (pro sp.) [scaposum × wootonii]",
"DAWRW",,"Dalea wrightii A. Gray var. wrightii ",
"PHRE9",,"Physaria rectipes (Wooton & Standl) O'Kane & Al-Shehbaz",
"ERAB2",,"Eriogonum abertianum Torr.",Abert's buckwheat
"SAAB",,"Sanvitalia abertii A. Gray",Abert's creeping zinnia
"MEMU3",,"Mentzelia multiflora (Nutt.) A. Gray",Adonis blazingstar
"MEMUI",,"Mentzelia multiflora (Nutt.) A. Gray var. integra M.E. Jones",Adonis blazingstar
"MEMUM2",,"Mentzelia multiflora (Nutt.) A. Gray var. multiflora ",Adonis blazingstar
"MAAF",,"Malcolmia africana (L.) W.T. Aiton",African mustard
"PEIN4",,"Pentzia incana (Thunb.) Kuntze",African sheepbush
"QUAJ",,"Quercus ajoensis C.H. Mull.",Ajo Mountain scrub oak
"CHAL5",,"Cheilanthes alabamensis (Buckley) Kunze",Alabama lipfern
"ASAMV",,"Astragalus amphioxys A. Gray var. vespertinus (Sheldon) M.E. Jones",Aladdin's slippers
"ELAL5",,"Elymus alaskanus (Scribn. & Merr.) Á. Löve",Alaskan wheatgrass
"ELALL",,"Elymus alaskanus (Scribn. & Merr.) Á. Löve ssp. latiglumis (Scribn. & J.G. Sm.) Á. Löve",Alaskan wheatgrass
"DASC4",,"Dalea scariosa S. Watson",Albuquerque prairie clover
"CEMO2",,"Cercocarpus montanus Raf.",alderleaf mountain mahogany
"CEMOM4",,"Cercocarpus montanus Raf. var. montanus ",alderleaf mountain mahogany
"MESA",,"Medicago sativa L.",alfalfa
"MESAS",,"Medicago sativa L. ssp. sativa ",alfalfa
"CUAP2",,"Cuscuta approximata Bab.",alfalfa dodder
"MATR3",,"Mahonia trifoliolata (Moric.) Fedde",algerita
"RACY",,"Ranunculus cymbalaria Pursh",alkali buttercup
"SPGR",,"Spartina gracilis Trin.",alkali cordgrass
"MALE3",,"Malvella leprosa (Ortega) Krapov.",alkali mallow
"ALPA14",,"Almutaster pauciflorus (Nutt.) Á. Löve & D. Löve",alkali marsh aster
"LECR12",,"Lepidium crenatum (Greene) Rydb.",alkali pepperweed
"SPAI",,"Sporobolus airoides (Torr.) Torr.",alkali sacaton
"HELA8",,"Helianthus laciniatus A. Gray",alkali sunflower
"SPSA3",,"Sphaerophysa salsula (Pall.) DC.",alkali swainsonpea
"FLCA",,"Flaveria campestris J.R. Johnst.",alkali yellowtops
"JUDE2",,"Juniperus deppeana Steud.",alligator juniper
"BEAL",,"Besseya alpina (A. Gray) Rydb.",alpine besseya
"POVI3",,"Polygonum viviparum L.",alpine bistort
"MEAL7",,"Mertensia alpina (Torr.) G. Don",alpine bluebells
"POAL2",,"Poa alpina L.",alpine bluegrass
"COAL6",,"Conopholis alpina Liebm.",alpine cancer-root
"TRDA2",,"Trifolium dasyphyllum Torr. & A. Gray",alpine clover
"HEPU14",,"Heterotheca pumila (Greene) Semple",alpine false goldenaster
"PSMO",,"Pseudocymopterus montanus (A. Gray) J.M. Coult. & Rose",alpine false springparsley
"FEBR",,"Festuca brachyphylla Schult. ex Schult. & Schult. f.",alpine fescue
"PAAL6",,"Parthenium alpinum (Nutt.) Torr. & A. Gray",alpine feverfew
"SYFO2",,"Symphyotrichum foliaceum (Lindl. ex DC.) G.L. Nesom",alpine leafybract aster
"SYFOA",,"Symphyotrichum foliaceum (Lindl. ex DC.) G.L. Nesom var. apricum (A. Gray) G.L. Nesom",alpine leafybract aster
"LEPY2",,"Lewisia pygmaea (A. Gray) B.L. Rob.",alpine lewisia
"THAL",,"Thalictrum alpinum L.",alpine meadow-rue
"ASAL7",,"Astragalus alpinus L.",alpine milkvetch
"ASALA4",,"Astragalus alpinus L. var. alpinus ",alpine milkvetch
"OXDI3",,"Oxyria digyna (L.) Hill",alpine mountainsorrel
"ORAL",,"Oreoxis alpina (A. Gray) J.M. Coult. & Rose",alpine oreoxis
"ORALA",,"Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina ",alpine oreoxis
"NOFEG",,"Noccaea fendleri (A. Gray) Holub ssp. glauca (A. Nelson) Al-Shehbaz & M. Koch",alpine pennycress
"POAL8",,"Potamogeton alpinus Balbis",alpine pondweed
"PRAN",,"Primula angustifolia Torr.",alpine primrose
"ARSC",,"Artemisia scopulorum A. Gray",alpine sagebrush
"PEGLA",,"Penstemon glaber Pursh var. alpinus (Torr.) A. Gray",alpine sawsepal penstemon
"GAHU",,"Gaultheria humifusa (Graham) Rydb.",alpine spicywintergreen
"CLME",,"Claytonia megarhiza (A. Gray) Parry ex S. Watson",alpine springbeauty
"PHAL2",,"Phleum alpinum L.",alpine timothy
"DRST5",,"Draba streptobrachia R.A. Price",alpine tundra draba
"SAPE18",,"Salix petrophila Rydb.",alpine willow
"OXAL2",,"Oxalis alpina (Rose) Rose ex R. Knuth",alpine woodsorrel
"TRHY",,"Trifolium hybridum L.",alsike clover
"ALSI8",,"Alyssum simplex Rudolphi",alyssum
"VEWO2",,"Veronica wormskjoldii Roem. & Schult.",American alpine speedwell
"VEWOW",,"Veronica wormskjoldii Roem. & Schult. var. wormskjoldii ",American alpine speedwell
"POBI6",,"Polygonum bistortoides Pursh",American bistort
"RIAM2",,"Ribes americanum Mill.",American black currant
"SANIC4",,"Sambucus nigra L. ssp. canadensis (L.) R. Bolli",American black elderberry
"SOAM",,"Solanum americanum Mill.",American black nightshade
"COAM8",,"Corispermum americanum (Nutt.) Nutt.",American bugseed
"COAMR",,"Corispermum americanum (Nutt.) Nutt. var. rydbergii Mosyakin",American bugseed
"PHAUA6",,"Phragmites australis (Cav.) Trin. ex Steud. ssp. americanus Saltonst., P.M. Peterson & Soreng",American common reed
"VIOPA2",,"Viburnum opulus L. var. americanum Aiton",American cranberrybush
"DRPA2",,"Dracocephalum parviflorum Nutt.",American dragonhead
"VAAM3",,"Vallisneria americana Michx.",American eelgrass
"GLLE3",,"Glycyrrhiza lepidota Pursh",American licorice
"GLGRG",,"Glyceria grandis S. Watson var. grandis ",American mannagrass
"GLGR",,"Glyceria grandis S. Watson",American mannagrass
"PRAM",,"Prunus americana Marshall",American plum
"PHAM4",,"Phytolacca americana L.",American pokeweed
"PHAMA3",,"Phytolacca americana L. var. americana ",American pokeweed
"RUID",,"Rubus idaeus L.",American red raspberry
"CRAC3",,"Cryptogramma acrostichoides R. Br.",American rockbrake
"BESY",,"Beckmannia syzigachne (Steud.) Fernald",American sloughgrass
"VEAM2",,"Veronica americana Schwein. ex Benth.",American speedwell
"ARRA",,"Aralia racemosa L.",American spikenard
"ARRAB2",,"Aralia racemosa L. ssp. bicrenata (Wooton & Standl.) S.L. Welsh & N.D. Atwood",American spikenard
"CEAM2",,"Centaurea americana Nutt.",American star-thistle
"FLCE",,"Flourensia cernua DC.",American tarwort
"BUAM2",,"Bupleurum americanum J.M. Coult. & Rose",American thorow wax
"TRCA8",,"Trixis californica Kellogg",American threefold
"VIAM",,"Vicia americana Muhl. ex Willd.",American vetch
