Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"EQFE",,"Equisetum ×ferrissii Clute (pro sp.) [hyemale × laevigatum]",
"VUMY",,"Vulpia myuros (L.) C.C. Gmel.",
"GAPUA",,"Gaillardia pulchella Foug. var. australis Turner & M.A. Whalen",
"GAPUP2",,"Gaillardia pulchella Foug. var. pulchella ",
"POHI8",,"Populus ×hinckleyana Correll (pro sp.) [angustifolia × fremontii]",
"VIPR4",,"Viola ×primulifolia L. (pro sp.) [lanceolata × macloskeyi]",
"ESTUV",,"Escobaria tuberculosa (Engelm.) Britton & Rose var. varicolor (Tiegel) Brack & K.D. Heil",
"DAWRW",,"Dalea wrightii A. Gray var. wrightii ",
"ERAB2",,"Eriogonum abertianum Torr.",Abert's buckwheat
"MEMU3",,"Mentzelia multiflora (Nutt.) A. Gray",Adonis blazingstar
"MEMUM2",,"Mentzelia multiflora (Nutt.) A. Gray var. multiflora ",Adonis blazingstar
"CHAL5",,"Cheilanthes alabamensis (Buckley) Kunze",Alabama lipfern
"BESC",,"Berchemia scandens (Hill) K. Koch",Alabama supplejack
"CEMO2",,"Cercocarpus montanus Raf.",alderleaf mountain mahogany
"MESA",,"Medicago sativa L.",alfalfa
"MESAS",,"Medicago sativa L. ssp. sativa ",alfalfa
"MATR3",,"Mahonia trifoliolata (Moric.) Fedde",algerita
"MALE3",,"Malvella leprosa (Ortega) Krapov.",alkali mallow
"SPAI",,"Sporobolus airoides (Torr.) Torr.",alkali sacaton
"ECPA4",,"Echinocereus papillosus Linke ex Rümpler",Allicoche hedgehog cactus
"JUDE2",,"Juniperus deppeana Steud.",alligator juniper
"ALPH",,"Alternanthera philoxeroides (Mart.) Griseb.",alligatorweed
"COAL6",,"Conopholis alpina Liebm.",alpine cancer-root
"PSMO",,"Pseudocymopterus montanus (A. Gray) J.M. Coult. & Rose",alpine false springparsley
"RUCH3",,"Rumex chrysocarpus Moris",amamastla
"LEPA3",,"Leptochloa panicoides (J. Presl) Hitchc.",Amazon sprangletop
"STHE9",,"Strophostyles helvola (L.) Elliott",amberique-bean
"ABAM2",,"Abronia ameliae Lundell",Amelia's sand verbena
"TIAM",,"Tilia americana L.",American basswood
"CAAM2",,"Callicarpa americana L.",American beautyberry
"FAGR",,"Fagus grandifolia Ehrh.",American beech
"LOUN",,"Lotus unifoliolatus (Hook.) Benth.",American bird's-foot trefoil
"LOUNU",,"Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus ",American bird's-foot trefoil
"CESC",,"Celastrus scandens L.",American bittersweet
"SANIC4",,"Sambucus nigra L. ssp. canadensis (L.) R. Bolli",American black elderberry
"BUAM",,"Buchnera americana L.",American bluehearts
"BROV4",,"Brunnichia ovata (Walter) Shinners",American buckwheat vine
"ERHI12",,"Erechtites hieraciifolius (L.) Raf. ex DC.",American burnweed
"ERHIH2",,"Erechtites hieraciifolius (L.) Raf. ex DC. var. hieraciifolius ",American burnweed
"SPAM",,"Sparganium americanum Nutt.",American bur-reed
"AGAM",,"Agave americana L.",American century plant
"SAST",,"Sacciolepis striata (L.) Nash",American cupscale
"ULAM",,"Ulmus americana L.",American elm
"ILOP",,"Ilex opaca Aiton",American holly
"ILOPO",,"Ilex opaca Aiton var. opaca ",American holly
"CACA18",,"Carpinus caroliniana Walter",American hornbeam
"GIST5",,"Gillenia stipulata (Muhl. ex Willd.) Baill.",American ipecac
"GLLE3",,"Glycyrrhiza lepidota Pursh",American licorice
"PHAM4",,"Phytolacca americana L.",American pokeweed
"RHAM",,"Rhynchosia americana (Houst. ex Mill.) M.C. Metz",American snoutbean
"STAM4",,"Styrax americanus Lam.",American snowbell
"ARRA",,"Aralia racemosa L.",American spikenard
"ARRAB2",,"Aralia racemosa L. ssp. bicrenata (Wooton & Standl.) S.L. Welsh & N.D. Atwood",American spikenard
"LISP2",,"Limnobium spongia (Bosc) Rich. ex Steud.",American spongeplant
"CEAM2",,"Centaurea americana Nutt.",American star-thistle
"FLCE",,"Flourensia cernua DC.",American tarwort
"TRCA8",,"Trixis californica Kellogg",American threefold
"NYODO",,"Nymphaea odorata Aiton ssp. odorata ",American white waterlily
"NYOD",,"Nymphaea odorata Aiton",American white waterlily
"DAPU3",,"Daucus pusillus Michx.",American wild carrot
"WIFR",,"Wisteria frutescens (L.) Poir.",American wisteria
"HAVI4",,"Hamamelis virginiana L.",American witchhazel
"COBO2",,"Cordia boissieri A. DC.",anacahuita
"ACLO2",,"Acleisanthes longiflora A. Gray",angel's trumpets
"RHCA9",,"Rhynchospora caduca Elliott",anglestem beaksedge
"LULE4",,"Ludwigia leptocarpa (Nutt.) H. Hara",anglestem primrose-willow
"INSU",,"Indigofera suffruticosa Mill.",anil de pasto
"SOOD",,"Solidago odora Aiton",anisescented goldenrod
"SOODO",,"Solidago odora Aiton var. odora ",anisescented goldenrod
"SIRO5",,"Sisyrinchium rosulatum E.P. Bicknell",annual blue-eyed grass
"POAN",,"Poa annua L.",annual bluegrass
"ERAN4",,"Eriogonum annuum Nutt.",annual buckwheat
"FIAN",,"Fimbristylis annua (All.) Roem. & Schult.",annual fimbry
"IVAN2",,"Iva annua L.",annual marsh elder
"MUMI2",,"Muhlenbergia minutissima (Steud.) Swallen",annual muhly
"PHDR",,"Phlox drummondii Hook.",annual phlox
"PHDRD",,"Phlox drummondii Hook. ssp. drummondii ",annual phlox
"POMO5",,"Polypogon monspeliensis (L.) Desf.",annual rabbitsfoot grass
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"SULI",,"Suaeda linearis (Elliott) Moq.",annual seepweed
"FARE",,"Facelis retusa (Lam.) Sch. Bip.",annual trampweed
"MEIN2",,"Melilotus indicus (L.) All.",annual yellow sweetclover
"FAPA",,"Fallugia paradoxa (D. Don) Endl. ex Torr.",Apache plume
"MESU5",,"Mentha suaveolens Ehrh.",apple mint
"ASPE",,"Asclepias perennis Walter",aquatic milkweed
"JUAR2",,"Juncus arcticus Willd.",arctic rush
"BRAR4",,"Bromus arizonicus (Shear) Stebbins",Arizona brome
"CECA3",,"Centaurium calycosum (Buckley) Fernald",Arizona centaury
"CEAR12",,"Centaurium arizonicum (A. Gray) A. Heller",Arizona centaury
"DICA8",,"Digitaria californica (Benth.) Henr.",Arizona cottontop
"PSAR12",,"Pseudognaphalium arizonicum (A. Gray) Anderb.",Arizona cudweed
"FEAR2",,"Festuca arizonica Vasey",Arizona fescue
"GRAR2",,"Grindelia arizonica A. Gray",Arizona gumweed
"GRARA",,"Grindelia arizonica A. Gray var. arizonica ",Arizona gumweed
"KAGR",,"Kallstroemia grandiflora Torr. ex A. Gray",Arizona poppy
"URAR",,"Urochloa arizonica (Scribn. & Merr.) O. Morrone & F. Zuloaga",Arizona signalgrass
"FRAR2",,"Froelichia arizonica Thornb. ex Standl.",Arizona snakecotton
"SEAR2",,"Selaginella arizonica Maxon",Arizona spikemoss
"ARAR6",,"Aristida arizonica Vasey",Arizona threeawn
"JUMA",,"Juglans major (Torr.) A. Heller",Arizona walnut
"ELAR7",,"Elymus arizonicus (Scribn. & J.G. Sm.) Gould",Arizona wheatgrass
"APSK",,"Aphanostephus skirrhobasis (DC.) Trel.",Arkansas dozedaisy
"APSKK",,"Aphanostephus skirrhobasis (DC.) Trel. var. kidderi (S.F. Blake) B.L. Turner",Arkansas dozedaisy
"APSKS",,"Aphanostephus skirrhobasis (DC.) Trel. var. skirrhobasis ",Arkansas dozedaisy
"APSKT",,"Aphanostephus skirrhobasis (DC.) Trel. var. thalassius Shinners",Arkansas dozedaisy
"CHAS",,"Chaetopappa asteroides Nutt. ex DC.",Arkansas leastdaisy
"YUAR2",,"Yucca arkansana Trel.",Arkansas yucca
"ARPU8",,"Aristida purpurascens Poir.",arrowfeather threeawn
"CRSA4",,"Crotalaria sagittalis L.",arrowhead rattlebox
"MASA3",,"Malvella sagittifolia (A. Gray) Fryxell",arrowleaf mallow
"VISA2",,"Viola sagittata Aiton",arrowleaf violet
"VISAS5",,"Viola sagittata Aiton var. sagittata ",arrowleaf violet
"TAFR",,"Talinopsis frutescens A. Gray",arroyo fameflower
"SALA6",,"Salix lasiolepis Benth.",arroyo willow
"SALAL2",,"Salix lasiolepis Benth. var. lasiolepis ",arroyo willow
"RAPEA2",,"Ranunculus petiolaris Kunth ex DC. var. arsenei (L.D. Benson) T. Duncan",Arsene's buttercup
"JUAS",,"Juniperus ashei J. Buchholz",Ashe's juniper
"CHCI2",,"Chamaesyce cinerascens (Engelm.) Small",ashy sandmat
"HEMO2",,"Helianthus mollis Lam.",ashy sunflower
"DIBI",,"Digitaria bicornis (Lam.) Roem. & Schult.",Asian crabgrass
"DIMI",,"Dichondra micrantha Urb.",Asian ponysfoot
"COCO3",,"Commelina communis L.",Asiatic dayflower
"ATFIA2",,"Athyrium filix-femina (L.) Roth ssp. asplenioides (Michx.) Hultén",asplenium ladyfern
"TAAP",,"Tamarix aphylla (L.) Karst.",Athel tamarisk
"CASC5",,"Camassia scilloides (Raf.) Cory",Atlantic camas
"CLMA4",,"Clitoria mariana L.",Atlantic pigeonwings
"ATSE",,"Atriplex semibaccata R. Br.",Australian saltbush
"POAU",,"Poa autumnalis Muhl. ex Elliott",autumn bluegrass
"ZECA",,"Zephyranthes candida (Lindl.) Herb.",autumn zephyrlily
"LIAR6",,"Lipocarpha aristulata (Coville) G. Tucker",awned halfchaff sedge
"SICA7",,"Simsia calva (Engelm. & A. Gray) A. Gray",awnless bushsunflower
"MEAC",,"Mecardonia acuminata (Walter) Small",axilflower
"MEACA",,"Mecardonia acuminata (Walter) Small var. acuminata ",axilflower
"SAAZ",,"Salvia azurea Michx. ex Lam.",azure blue sage
"SAAZA",,"Salvia azurea Michx. ex Lam. var. azurea ",azure blue sage
"MEPR2",,"Mecardonia procumbens (Mill.) Small",baby jump-up
"HYVE",,"Hybanthus verticillatus (Ortega) Baill.",babyslippers
"SEVE",,"Sesbania vesicaria (Jacq.) Elliott",bagpod
"LUCO",,"Lupinus concinnus J. Agardh",bajada lupine
"TADI2",,"Taxodium distichum (L.) Rich.",bald cypress
"ELER",,"Eleocharis erythropoda Steud.",bald spikerush
"CYCR6",,"Cyperus croceus Vahl",Baldwin's flatsedge
"VEBA",,"Vernonia baldwinii Torr.",Baldwin's ironweed
"XYBA",,"Xyris baldwiniana Schult.",Baldwin's yelloweyed grass
"CAHA13",,"Cardiospermum halicacabum L.",balloon vine
"YUBA",,"Yucca baccata Torr.",banana yucca
"PRBA",,"Prenanthes barbata (Torr. & A. Gray) Milstead",barbed rattlesnakeroot
"ECCR",,"Echinochloa crus-galli (L.) P. Beauv.",barnyardgrass
"SYPR7",,"Symphyotrichum pratense (Raf.) G.L. Nesom",barrens silky aster
"MOCL2",,"Monarda clinopodioides A. Gray",basil beebalm
"OPHIS",,"Oplismenus hirtellus (L.) P. Beauv. ssp. setarius (Lam.) Mez ex Ekman",basketgrass
"OPHI",,"Oplismenus hirtellus (L.) P. Beauv.",basketgrass
"ERWR",,"Eriogonum wrightii Torr. ex Benth.",bastardsage
"ERWRW",,"Eriogonum wrightii Torr. ex Benth. var. wrightii ",bastardsage
"OEDR",,"Oenothera drummondii Hook.",beach evening primrose
"AGFA2",,"Agalinis fasciculata (Elliott) Raf.",beach false foxglove
"CHWO",,"Cheilanthes wootonii Maxon",beaded lipfern
"AGRO3",,"Agrimonia rostellata Wallr.",beaked agrimony
"VARA",,"Valerianella radiata (L.) Dufr.",beaked cornsalad
"GLQU",,"Glandularia quandrangulata (A. Heller) Umber",beaked mock vervain
"PAAN",,"Panicum anceps Michx.",beaked panicgrass
"BIAR",,"Bidens aristosa (Michx.) Britton",bearded beggarticks
"CYSQ",,"Cyperus squarrosus L.",bearded flatsedge
"DAPO",,"Dalea pogonathera A. Gray",bearded prairie clover
"DAPOP",,"Dalea pogonathera A. Gray var. pogonathera ",bearded prairie clover
"GYAM",,"Gymnopogon ambiguus (Michx.) Britton, Sterns & Poggenb.",bearded skeletongrass
"LEFUF",,"Leptochloa fusca (L.) Kunth ssp. fascicularis (Lam.) N. Snow",bearded sprangletop
"CYBA",,"Cynanchum barbigerum (Scheele) Shinners",bearded swallow-wort
"POVI9",,"Polypogon viridis (Gouan) Breistr.",beardless rabbitsfoot grass
"PEBA2",,"Penstemon barbatus (Cav.) Roth",beardlip penstemon
"HYGA",,"Hypericum galioides Lam.",bedstraw St. Johnswort
"EPVI2",,"Epifagus virginiana (L.) W.P.C. Barton",beechdrops
"FRBE2",,"Frangula betulifolia (Greene) V. Grub.",beechleaf frangula
