Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"GAPUA",,"Gaillardia pulchella Foug. var. australis Turner & M.A. Whalen",
"GAPUP2",,"Gaillardia pulchella Foug. var. pulchella ",
"VEGU",,"Vernonia ×guadalupensis A. Heller (pro sp.) [baldwinii × lindheimeri]",
"WEAC",,"Wedelia acapulcensis Kunth",
"URRA",,"Urochloa ramosa (L.) Nguyen",
"VUMY",,"Vulpia myuros (L.) C.C. Gmel.",
"VIPR4",,"Viola ×primulifolia L. (pro sp.) [lanceolata × macloskeyi]",
"SICO",,"Sida cordifolia L.",‘ilima
"ERAB2",,"Eriogonum abertianum Torr.",Abert's buckwheat
"LAIN7",,"Launaea intybacea (Jacq.) P. Beauv.",achicoria azul
"CHAL5",,"Cheilanthes alabamensis (Buckley) Kunze",Alabama lipfern
"BESC",,"Berchemia scandens (Hill) K. Koch",Alabama supplejack
"MESAS",,"Medicago sativa L. ssp. sativa ",alfalfa
"MESA",,"Medicago sativa L.",alfalfa
"MATR3",,"Mahonia trifoliolata (Moric.) Fedde",algerita
"MALE3",,"Malvella leprosa (Ortega) Krapov.",alkali mallow
"SPAI",,"Sporobolus airoides (Torr.) Torr.",alkali sacaton
"FLCA",,"Flaveria campestris J.R. Johnst.",alkali yellowtops
"RUCH3",,"Rumex chrysocarpus Moris",amamastla
"STHE9",,"Strophostyles helvola (L.) Elliott",amberique-bean
"ABAM2",,"Abronia ameliae Lundell",Amelia's sand verbena
"TIAM",,"Tilia americana L.",American basswood
"CAAM2",,"Callicarpa americana L.",American beautyberry
"LOUN",,"Lotus unifoliolatus (Hook.) Benth.",American bird's-foot trefoil
"LOUNU",,"Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus ",American bird's-foot trefoil
"SANIC4",,"Sambucus nigra L. ssp. canadensis (L.) R. Bolli",American black elderberry
"SOAM",,"Solanum americanum Mill.",American black nightshade
"BUAM",,"Buchnera americana L.",American bluehearts
"BROV4",,"Brunnichia ovata (Walter) Shinners",American buckwheat vine
"COAM8",,"Corispermum americanum (Nutt.) Nutt.",American bugseed
"COAMR",,"Corispermum americanum (Nutt.) Nutt. var. rydbergii Mosyakin",American bugseed
"ERHI12",,"Erechtites hieraciifolius (L.) Raf. ex DC.",American burnweed
"ERHIH2",,"Erechtites hieraciifolius (L.) Raf. ex DC. var. hieraciifolius ",American burnweed
"SPAM",,"Sparganium americanum Nutt.",American bur-reed
"SAST",,"Sacciolepis striata (L.) Nash",American cupscale
"ULAM",,"Ulmus americana L.",American elm
"HOIN",,"Hottonia inflata Elliott",American featherfoil
"TRSP",,"Tripogon spicatus (Nees) Ekman",American fiveminute grass
"ILOP",,"Ilex opaca Aiton",American holly
"ILOPO",,"Ilex opaca Aiton var. opaca ",American holly
"CACA18",,"Carpinus caroliniana Walter",American hornbeam
"GIST5",,"Gillenia stipulata (Muhl. ex Willd.) Baill.",American ipecac
"GLLE3",,"Glycyrrhiza lepidota Pursh",American licorice
"NELU",,"Nelumbo lutea Willd.",American lotus
"PIAM",,"Pilularia americana A. Braun",American pillwort
"PHAM4",,"Phytolacca americana L.",American pokeweed
"COOB2",,"Cotinus obovatus Raf.",American smoketree
"RHAM",,"Rhynchosia americana (Houst. ex Mill.) M.C. Metz",American snoutbean
"STAM4",,"Styrax americanus Lam.",American snowbell
"LISP2",,"Limnobium spongia (Bosc) Rich. ex Steud.",American spongeplant
"CEAM2",,"Centaurea americana Nutt.",American star-thistle
"PLOC",,"Platanus occidentalis L.",American sycamore
"LYAM",,"Lycopus americanus Muhl. ex W.P.C. Barton",American water horehound
"JUAM",,"Justicia americana (L.) Vahl",American water-willow
"NYODO",,"Nymphaea odorata Aiton ssp. odorata ",American white waterlily
"NYOD",,"Nymphaea odorata Aiton",American white waterlily
"DAPU3",,"Daucus pusillus Michx.",American wild carrot
"WIFR",,"Wisteria frutescens (L.) Poir.",American wisteria
"HAVI4",,"Hamamelis virginiana L.",American witchhazel
"COBO2",,"Cordia boissieri A. DC.",anacahuita
"ACLO2",,"Acleisanthes longiflora A. Gray",angel's trumpets
"RHCA9",,"Rhynchospora caduca Elliott",anglestem beaksedge
"LULE4",,"Ludwigia leptocarpa (Nutt.) H. Hara",anglestem primrose-willow
"DIAR5",,"Dichanthium aristatum (Poir.) C.E. Hubbard",Angleton bluestem
"MAGO",,"Matelea gonocarpos (Walter) Shinners",angularfruit milkvine
"INSU",,"Indigofera suffruticosa Mill.",anil de pasto
"SOOD",,"Solidago odora Aiton",anisescented goldenrod
"SOODO",,"Solidago odora Aiton var. odora ",anisescented goldenrod
"RARU",,"Rapistrum rugosum (L.) All.",annual bastardcabbage
"POAN",,"Poa annua L.",annual bluegrass
"ERAN4",,"Eriogonum annuum Nutt.",annual buckwheat
"PHCA5",,"Phalaris canariensis L.",annual canarygrass
"FIAN",,"Fimbristylis annua (All.) Roem. & Schult.",annual fimbry
"IVAN2",,"Iva annua L.",annual marsh elder
"PHDR",,"Phlox drummondii Hook.",annual phlox
"PHDRD",,"Phlox drummondii Hook. ssp. drummondii ",annual phlox
"POMO5",,"Polypogon monspeliensis (L.) Desf.",annual rabbitsfoot grass
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
