Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"GAPUA",,"Gaillardia pulchella Foug. var. australis Turner & M.A. Whalen",
"GAPUP2",,"Gaillardia pulchella Foug. var. pulchella ",
"WEAC",,"Wedelia acapulcensis Kunth",
"URRA",,"Urochloa ramosa (L.) Nguyen",
"VUMY",,"Vulpia myuros (L.) C.C. Gmel.",
"ATMU3",,"Atriplex muricata Humb. & Bonpl. ex Willd.",
"POHI8",,"Populus ×hinckleyana Correll (pro sp.) [angustifolia × fremontii]",
"VIPR4",,"Viola ×primulifolia L. (pro sp.) [lanceolata × macloskeyi]",
"ERAB2",,"Eriogonum abertianum Torr.",Abert's buckwheat
"CHAL5",,"Cheilanthes alabamensis (Buckley) Kunze",Alabama lipfern
"BESC",,"Berchemia scandens (Hill) K. Koch",Alabama supplejack
"MESA",,"Medicago sativa L.",alfalfa
"MESAS",,"Medicago sativa L. ssp. sativa ",alfalfa
"MATR3",,"Mahonia trifoliolata (Moric.) Fedde",algerita
"SPAI",,"Sporobolus airoides (Torr.) Torr.",alkali sacaton
"FLCA",,"Flaveria campestris J.R. Johnst.",alkali yellowtops
"ECPA4",,"Echinocereus papillosus Linke ex Rümpler",Allicoche hedgehog cactus
"ALPH",,"Alternanthera philoxeroides (Mart.) Griseb.",alligatorweed
"YUAL",,"Yucca aloifolia L.",aloe yucca
"RUCH3",,"Rumex chrysocarpus Moris",amamastla
"CAMA37",,"Carissa macrocarpa (Eckl.) A. DC.",amatungulu
"STHE9",,"Strophostyles helvola (L.) Elliott",amberique-bean
"TIAM",,"Tilia americana L.",American basswood
"CAAM2",,"Callicarpa americana L.",American beautyberry
"FAGR",,"Fagus grandifolia Ehrh.",American beech
"LOUN",,"Lotus unifoliolatus (Hook.) Benth.",American bird's-foot trefoil
"LOUNU",,"Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus ",American bird's-foot trefoil
"SANIC4",,"Sambucus nigra L. ssp. canadensis (L.) R. Bolli",American black elderberry
"BUAM",,"Buchnera americana L.",American bluehearts
"BROV4",,"Brunnichia ovata (Walter) Shinners",American buckwheat vine
"ERHI12",,"Erechtites hieraciifolius (L.) Raf. ex DC.",American burnweed
"ERHIH2",,"Erechtites hieraciifolius (L.) Raf. ex DC. var. hieraciifolius ",American burnweed
"SPAM",,"Sparganium americanum Nutt.",American bur-reed
"AGAM",,"Agave americana L.",American century plant
"SAST",,"Sacciolepis striata (L.) Nash",American cupscale
"ULAM",,"Ulmus americana L.",American elm
"HOIN",,"Hottonia inflata Elliott",American featherfoil
"TRSP",,"Tripogon spicatus (Nees) Ekman",American fiveminute grass
"AMBR2",,"Amphicarpaea bracteata (L.) Fernald",American hogpeanut
"ILOP",,"Ilex opaca Aiton",American holly
"ILOPO",,"Ilex opaca Aiton var. opaca ",American holly
"CACA18",,"Carpinus caroliniana Walter",American hornbeam
"GLLE3",,"Glycyrrhiza lepidota Pursh",American licorice
"PHLE5",,"Phryma leptostachya L.",American lopseed
"NELU",,"Nelumbo lutea Willd.",American lotus
"PIAM",,"Pilularia americana A. Braun",American pillwort
"PHAM4",,"Phytolacca americana L.",American pokeweed
"RHAM",,"Rhynchosia americana (Houst. ex Mill.) M.C. Metz",American snoutbean
"STAM4",,"Styrax americanus Lam.",American snowbell
"CEAM2",,"Centaurea americana Nutt.",American star-thistle
"PLOC",,"Platanus occidentalis L.",American sycamore
"FLCE",,"Flourensia cernua DC.",American tarwort
"LYAM",,"Lycopus americanus Muhl. ex W.P.C. Barton",American water horehound
"JUAM",,"Justicia americana (L.) Vahl",American water-willow
"NYODO",,"Nymphaea odorata Aiton ssp. odorata ",American white waterlily
"NYOD",,"Nymphaea odorata Aiton",American white waterlily
"DAPU3",,"Daucus pusillus Michx.",American wild carrot
"HAVI4",,"Hamamelis virginiana L.",American witchhazel
"LOMA6",,"Lonicera maackii (Rupr.) Herder",Amur honeysuckle
"DACY",,"Dalea cylindriceps Barneby",Andean prairie clover
"ACLO2",,"Acleisanthes longiflora A. Gray",angel's trumpets
"RHAN5",,"Rhododon angulatus (Tharp) B.L. Turner",angled sandmint
"RHCA9",,"Rhynchospora caduca Elliott",anglestem beaksedge
"LULE4",,"Ludwigia leptocarpa (Nutt.) H. Hara",anglestem primrose-willow
"DIAR5",,"Dichanthium aristatum (Poir.) C.E. Hubbard",Angleton bluestem
"MAGO",,"Matelea gonocarpos (Walter) Shinners",angularfruit milkvine
"INSU",,"Indigofera suffruticosa Mill.",anil de pasto
"SOOD",,"Solidago odora Aiton",anisescented goldenrod
"SOODO",,"Solidago odora Aiton var. odora ",anisescented goldenrod
"RARU",,"Rapistrum rugosum (L.) All.",annual bastardcabbage
"SIRO5",,"Sisyrinchium rosulatum E.P. Bicknell",annual blue-eyed grass
"POAN",,"Poa annua L.",annual bluegrass
"ERAN4",,"Eriogonum annuum Nutt.",annual buckwheat
"PHCA5",,"Phalaris canariensis L.",annual canarygrass
"FIAN",,"Fimbristylis annua (All.) Roem. & Schult.",annual fimbry
"IVAN2",,"Iva annua L.",annual marsh elder
"PHDR",,"Phlox drummondii Hook.",annual phlox
"PHDRD",,"Phlox drummondii Hook. ssp. drummondii ",annual phlox
