Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"GAPUA",,"Gaillardia pulchella Foug. var. australis Turner & M.A. Whalen",
"GAPUP2",,"Gaillardia pulchella Foug. var. pulchella ",
"EQFE",,"Equisetum ×ferrissii Clute (pro sp.) [hyemale × laevigatum]",
"SENE3",,"Selaginella ×neomexicana Maxon (pro sp.) [mutica × rupincola]",
"VUMY",,"Vulpia myuros (L.) C.C. Gmel.",
"VIPR4",,"Viola ×primulifolia L. (pro sp.) [lanceolata × macloskeyi]",
"DAWRW",,"Dalea wrightii A. Gray var. wrightii ",
"ERAB2",,"Eriogonum abertianum Torr.",Abert's buckwheat
"SAAB",,"Sanvitalia abertii A. Gray",Abert's creeping zinnia
"MEMU3",,"Mentzelia multiflora (Nutt.) A. Gray",Adonis blazingstar
"MEMUM2",,"Mentzelia multiflora (Nutt.) A. Gray var. multiflora ",Adonis blazingstar
"CHAL5",,"Cheilanthes alabamensis (Buckley) Kunze",Alabama lipfern
"BESC",,"Berchemia scandens (Hill) K. Koch",Alabama supplejack
"CEMO2",,"Cercocarpus montanus Raf.",alderleaf mountain mahogany
"MESAS",,"Medicago sativa L. ssp. sativa ",alfalfa
"MESA",,"Medicago sativa L.",alfalfa
"MATR3",,"Mahonia trifoliolata (Moric.) Fedde",algerita
"MALE3",,"Malvella leprosa (Ortega) Krapov.",alkali mallow
"SPAI",,"Sporobolus airoides (Torr.) Torr.",alkali sacaton
"SPSA3",,"Sphaerophysa salsula (Pall.) DC.",alkali swainsonpea
"FLCA",,"Flaveria campestris J.R. Johnst.",alkali yellowtops
"ALPH",,"Alternanthera philoxeroides (Mart.) Griseb.",alligatorweed
"RUCH3",,"Rumex chrysocarpus Moris",amamastla
"STHE9",,"Strophostyles helvola (L.) Elliott",amberique-bean
"TIAM",,"Tilia americana L.",American basswood
"CAAM2",,"Callicarpa americana L.",American beautyberry
"LOUN",,"Lotus unifoliolatus (Hook.) Benth.",American bird's-foot trefoil
"LOUNU",,"Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus ",American bird's-foot trefoil
"COAM8",,"Corispermum americanum (Nutt.) Nutt.",American bugseed
"COAMA2",,"Corispermum americanum (Nutt.) Nutt. var. americanum ",American bugseed
"ERHI12",,"Erechtites hieraciifolius (L.) Raf. ex DC.",American burnweed
"ERHIH2",,"Erechtites hieraciifolius (L.) Raf. ex DC. var. hieraciifolius ",American burnweed
"ULAM",,"Ulmus americana L.",American elm
"ILOP",,"Ilex opaca Aiton",American holly
"ILOPO",,"Ilex opaca Aiton var. opaca ",American holly
"GIST5",,"Gillenia stipulata (Muhl. ex Willd.) Baill.",American ipecac
"GLLE3",,"Glycyrrhiza lepidota Pursh",American licorice
"PHLE5",,"Phryma leptostachya L.",American lopseed
"NELU",,"Nelumbo lutea Willd.",American lotus
"PHAM4",,"Phytolacca americana L.",American pokeweed
"RHAM",,"Rhynchosia americana (Houst. ex Mill.) M.C. Metz",American snoutbean
"CEAM2",,"Centaurea americana Nutt.",American star-thistle
"PLOC",,"Platanus occidentalis L.",American sycamore
"FLCE",,"Flourensia cernua DC.",American tarwort
"TRCA8",,"Trixis californica Kellogg",American threefold
"LYAM",,"Lycopus americanus Muhl. ex W.P.C. Barton",American water horehound
"JUAM",,"Justicia americana (L.) Vahl",American water-willow
"DAPU3",,"Daucus pusillus Michx.",American wild carrot
"ACLO2",,"Acleisanthes longiflora A. Gray",angel's trumpets
"RHCA9",,"Rhynchospora caduca Elliott",anglestem beaksedge
"LULE4",,"Ludwigia leptocarpa (Nutt.) H. Hara",anglestem primrose-willow
"MAGO",,"Matelea gonocarpos (Walter) Shinners",angularfruit milkvine
"SOOD",,"Solidago odora Aiton",anisescented goldenrod
"SOODO",,"Solidago odora Aiton var. odora ",anisescented goldenrod
"SIRO5",,"Sisyrinchium rosulatum E.P. Bicknell",annual blue-eyed grass
"POAN",,"Poa annua L.",annual bluegrass
"ERAN4",,"Eriogonum annuum Nutt.",annual buckwheat
"IVAN2",,"Iva annua L.",annual marsh elder
"MUMI2",,"Muhlenbergia minutissima (Steud.) Swallen",annual muhly
"PHDR",,"Phlox drummondii Hook.",annual phlox
"PHDRD",,"Phlox drummondii Hook. ssp. drummondii ",annual phlox
"POMO5",,"Polypogon monspeliensis (L.) Desf.",annual rabbitsfoot grass
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"TOAN",,"Townsendia annua Beaman",annual Townsend daisy
"FARE",,"Facelis retusa (Lam.) Sch. Bip.",annual trampweed
"DIMU2",,"Diplotaxis muralis (L.) DC.",annual wallrocket
"ALCH",,"Allionia choisyi Standl.",annual windmills
"MEIN2",,"Melilotus indicus (L.) All.",annual yellow sweetclover
"FAPA",,"Fallugia paradoxa (D. Don) Endl. ex Torr.",Apache plume
"ASPE",,"Asclepias perennis Walter",aquatic milkweed
"JUAR2",,"Juncus arcticus Willd.",arctic rush
"EURE5",,"Eustachys retusa (Lag.) Kunth",Argentine fingergrass
"CEAR12",,"Centaurium arizonicum (A. Gray) A. Heller",Arizona centaury
"CECA3",,"Centaurium calycosum (Buckley) Fernald",Arizona centaury
"DICA8",,"Digitaria californica (Benth.) Henr.",Arizona cottontop
