Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"GAPUA",,"Gaillardia pulchella Foug. var. australis Turner & M.A. Whalen",
"GAPUP2",,"Gaillardia pulchella Foug. var. pulchella ",
"VEGU",,"Vernonia ×guadalupensis A. Heller (pro sp.) [baldwinii × lindheimeri]",
"WEAC",,"Wedelia acapulcensis Kunth",
"VUMY",,"Vulpia myuros (L.) C.C. Gmel.",
"VIPR4",,"Viola ×primulifolia L. (pro sp.) [lanceolata × macloskeyi]",
"DAWRW",,"Dalea wrightii A. Gray var. wrightii ",
"SICO",,"Sida cordifolia L.",‘ilima
"ERAB2",,"Eriogonum abertianum Torr.",Abert's buckwheat
"SAAB",,"Sanvitalia abertii A. Gray",Abert's creeping zinnia
"ELAC5",,"Eleocharis acutangula (Roxb.) Schult.",acute spikerush
"MEMU3",,"Mentzelia multiflora (Nutt.) A. Gray",Adonis blazingstar
"MEMUM2",,"Mentzelia multiflora (Nutt.) A. Gray var. multiflora ",Adonis blazingstar
"CHAL5",,"Cheilanthes alabamensis (Buckley) Kunze",Alabama lipfern
"BESC",,"Berchemia scandens (Hill) K. Koch",Alabama supplejack
"CEMO2",,"Cercocarpus montanus Raf.",alderleaf mountain mahogany
"MESA",,"Medicago sativa L.",alfalfa
"MESAS",,"Medicago sativa L. ssp. sativa ",alfalfa
"MATR3",,"Mahonia trifoliolata (Moric.) Fedde",algerita
"RACY",,"Ranunculus cymbalaria Pursh",alkali buttercup
"MALE3",,"Malvella leprosa (Ortega) Krapov.",alkali mallow
"SPAI",,"Sporobolus airoides (Torr.) Torr.",alkali sacaton
"FLCA",,"Flaveria campestris J.R. Johnst.",alkali yellowtops
"ECPA4",,"Echinocereus papillosus Linke ex Rümpler",Allicoche hedgehog cactus
"JUDE2",,"Juniperus deppeana Steud.",alligator juniper
"ALPH",,"Alternanthera philoxeroides (Mart.) Griseb.",alligatorweed
"RUCH3",,"Rumex chrysocarpus Moris",amamastla
"STHE9",,"Strophostyles helvola (L.) Elliott",amberique-bean
"ABAM2",,"Abronia ameliae Lundell",Amelia's sand verbena
"TIAM",,"Tilia americana L.",American basswood
"CAAM2",,"Callicarpa americana L.",American beautyberry
"FAGR",,"Fagus grandifolia Ehrh.",American beech
"LOUN",,"Lotus unifoliolatus (Hook.) Benth.",American bird's-foot trefoil
"LOUNU",,"Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus ",American bird's-foot trefoil
"SANIC4",,"Sambucus nigra L. ssp. canadensis (L.) R. Bolli",American black elderberry
"SOAM",,"Solanum americanum Mill.",American black nightshade
"BUAM",,"Buchnera americana L.",American bluehearts
"BROV4",,"Brunnichia ovata (Walter) Shinners",American buckwheat vine
"COAM8",,"Corispermum americanum (Nutt.) Nutt.",American bugseed
"COAMA2",,"Corispermum americanum (Nutt.) Nutt. var. americanum ",American bugseed
"COAMR",,"Corispermum americanum (Nutt.) Nutt. var. rydbergii Mosyakin",American bugseed
"ERHI12",,"Erechtites hieraciifolius (L.) Raf. ex DC.",American burnweed
"ERHIH2",,"Erechtites hieraciifolius (L.) Raf. ex DC. var. hieraciifolius ",American burnweed
"SPAM",,"Sparganium americanum Nutt.",American bur-reed
"SAST",,"Sacciolepis striata (L.) Nash",American cupscale
"VAAM3",,"Vallisneria americana Michx.",American eelgrass
"ULAM",,"Ulmus americana L.",American elm
"HOIN",,"Hottonia inflata Elliott",American featherfoil
"TRSP",,"Tripogon spicatus (Nees) Ekman",American fiveminute grass
"AMBR2",,"Amphicarpaea bracteata (L.) Fernald",American hogpeanut
"ILOP",,"Ilex opaca Aiton",American holly
"ILOPO",,"Ilex opaca Aiton var. opaca ",American holly
"CACA18",,"Carpinus caroliniana Walter",American hornbeam
"GIST5",,"Gillenia stipulata (Muhl. ex Willd.) Baill.",American ipecac
"GLLE3",,"Glycyrrhiza lepidota Pursh",American licorice
"PHLE5",,"Phryma leptostachya L.",American lopseed
"NELU",,"Nelumbo lutea Willd.",American lotus
"PHAM4",,"Phytolacca americana L.",American pokeweed
"COOB2",,"Cotinus obovatus Raf.",American smoketree
"RHAM",,"Rhynchosia americana (Houst. ex Mill.) M.C. Metz",American snoutbean
"STAM4",,"Styrax americanus Lam.",American snowbell
"CEAM2",,"Centaurea americana Nutt.",American star-thistle
"PLOC",,"Platanus occidentalis L.",American sycamore
"FLCE",,"Flourensia cernua DC.",American tarwort
"TRCA8",,"Trixis californica Kellogg",American threefold
"VIAM",,"Vicia americana Muhl. ex Willd.",American vetch
"LYAM",,"Lycopus americanus Muhl. ex W.P.C. Barton",American water horehound
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"JUAM",,"Justicia americana (L.) Vahl",American water-willow
"NYOD",,"Nymphaea odorata Aiton",American white waterlily
"NYODO",,"Nymphaea odorata Aiton ssp. odorata ",American white waterlily
"DAPU3",,"Daucus pusillus Michx.",American wild carrot
"WIFR",,"Wisteria frutescens (L.) Poir.",American wisteria
"HAVI4",,"Hamamelis virginiana L.",American witchhazel
"COBO2",,"Cordia boissieri A. DC.",anacahuita
"DACY",,"Dalea cylindriceps Barneby",Andean prairie clover
"ACLO2",,"Acleisanthes longiflora A. Gray",angel's trumpets
"RHCA9",,"Rhynchospora caduca Elliott",anglestem beaksedge
