Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"GAPUA",,"Gaillardia pulchella Foug. var. australis Turner & M.A. Whalen",
"GAPUP2",,"Gaillardia pulchella Foug. var. pulchella ",
"VEGU",,"Vernonia ×guadalupensis A. Heller (pro sp.) [baldwinii × lindheimeri]",
"WEAC",,"Wedelia acapulcensis Kunth",
"VUMY",,"Vulpia myuros (L.) C.C. Gmel.",
"VIPR4",,"Viola ×primulifolia L. (pro sp.) [lanceolata × macloskeyi]",
"LAIN7",,"Launaea intybacea (Jacq.) P. Beauv.",achicoria azul
"CRAL3",,"Croton alabamensis E.A. Sm. ex Chapm.",Alabama croton
"CRALT",,"Croton alabamensis E.A. Sm. ex Chapm. var. texensis Ginzbarg",Alabama croton
"CHAL5",,"Cheilanthes alabamensis (Buckley) Kunze",Alabama lipfern
"BESC",,"Berchemia scandens (Hill) K. Koch",Alabama supplejack
"CEMO2",,"Cercocarpus montanus Raf.",alderleaf mountain mahogany
"MESA",,"Medicago sativa L.",alfalfa
"MESAS",,"Medicago sativa L. ssp. sativa ",alfalfa
"MATR3",,"Mahonia trifoliolata (Moric.) Fedde",algerita
"RACY",,"Ranunculus cymbalaria Pursh",alkali buttercup
"SPAI",,"Sporobolus airoides (Torr.) Torr.",alkali sacaton
"ECPA4",,"Echinocereus papillosus Linke ex Rümpler",Allicoche hedgehog cactus
"ALPH",,"Alternanthera philoxeroides (Mart.) Griseb.",alligatorweed
"RUCH3",,"Rumex chrysocarpus Moris",amamastla
"STHE9",,"Strophostyles helvola (L.) Elliott",amberique-bean
"ABAM2",,"Abronia ameliae Lundell",Amelia's sand verbena
"TIAM",,"Tilia americana L.",American basswood
"CAAM2",,"Callicarpa americana L.",American beautyberry
"FAGR",,"Fagus grandifolia Ehrh.",American beech
"LOUN",,"Lotus unifoliolatus (Hook.) Benth.",American bird's-foot trefoil
"LOUNU",,"Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus ",American bird's-foot trefoil
"SANIC4",,"Sambucus nigra L. ssp. canadensis (L.) R. Bolli",American black elderberry
"BUAM",,"Buchnera americana L.",American bluehearts
"BROV4",,"Brunnichia ovata (Walter) Shinners",American buckwheat vine
"ERHI12",,"Erechtites hieraciifolius (L.) Raf. ex DC.",American burnweed
"ERHIH2",,"Erechtites hieraciifolius (L.) Raf. ex DC. var. hieraciifolius ",American burnweed
"SPAM",,"Sparganium americanum Nutt.",American bur-reed
"AGAM",,"Agave americana L.",American century plant
"SAST",,"Sacciolepis striata (L.) Nash",American cupscale
"ULAM",,"Ulmus americana L.",American elm
"TRSP",,"Tripogon spicatus (Nees) Ekman",American fiveminute grass
"AMBR2",,"Amphicarpaea bracteata (L.) Fernald",American hogpeanut
"ILOP",,"Ilex opaca Aiton",American holly
"ILOPO",,"Ilex opaca Aiton var. opaca ",American holly
"CACA18",,"Carpinus caroliniana Walter",American hornbeam
"GLLE3",,"Glycyrrhiza lepidota Pursh",American licorice
"PHLE5",,"Phryma leptostachya L.",American lopseed
"PHAM4",,"Phytolacca americana L.",American pokeweed
"RHAM",,"Rhynchosia americana (Houst. ex Mill.) M.C. Metz",American snoutbean
"STAM4",,"Styrax americanus Lam.",American snowbell
"CEAM2",,"Centaurea americana Nutt.",American star-thistle
"PLOC",,"Platanus occidentalis L.",American sycamore
"FLCE",,"Flourensia cernua DC.",American tarwort
"LYAM",,"Lycopus americanus Muhl. ex W.P.C. Barton",American water horehound
"JUAM",,"Justicia americana (L.) Vahl",American water-willow
"NYODO",,"Nymphaea odorata Aiton ssp. odorata ",American white waterlily
"NYOD",,"Nymphaea odorata Aiton",American white waterlily
"DAPU3",,"Daucus pusillus Michx.",American wild carrot
"WIFR",,"Wisteria frutescens (L.) Poir.",American wisteria
"HAVI4",,"Hamamelis virginiana L.",American witchhazel
"LOMA6",,"Lonicera maackii (Rupr.) Herder",Amur honeysuckle
"COBO2",,"Cordia boissieri A. DC.",anacahuita
"ACLO2",,"Acleisanthes longiflora A. Gray",angel's trumpets
"RHCA9",,"Rhynchospora caduca Elliott",anglestem beaksedge
"LULE4",,"Ludwigia leptocarpa (Nutt.) H. Hara",anglestem primrose-willow
"DIAR5",,"Dichanthium aristatum (Poir.) C.E. Hubbard",Angleton bluestem
"MAGO",,"Matelea gonocarpos (Walter) Shinners",angularfruit milkvine
"INSU",,"Indigofera suffruticosa Mill.",anil de pasto
"SOOD",,"Solidago odora Aiton",anisescented goldenrod
"SOODO",,"Solidago odora Aiton var. odora ",anisescented goldenrod
"RARU",,"Rapistrum rugosum (L.) All.",annual bastardcabbage
"SIRO5",,"Sisyrinchium rosulatum E.P. Bicknell",annual blue-eyed grass
"POAN",,"Poa annua L.",annual bluegrass
"ERAN4",,"Eriogonum annuum Nutt.",annual buckwheat
"FIAN",,"Fimbristylis annua (All.) Roem. & Schult.",annual fimbry
"LATR3",,"Lavatera trimestris L.",annual mallow
"IVAN2",,"Iva annua L.",annual marsh elder
"PHDR",,"Phlox drummondii Hook.",annual phlox
"POMO5",,"Polypogon monspeliensis (L.) Desf.",annual rabbitsfoot grass
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"SULI",,"Suaeda linearis (Elliott) Moq.",annual seepweed
